props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Lyngby-Taarbæk,55.78154,12.48815,,,/adresse/skovbrynet-2e-3-13-2800-kongens-lyngby-01730722__2e__3__13,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Centralvarme med én fyringsenhed,46.0,Eget køkken med afløb,5.0,1.0,Levende tage,Vandskyllende toilet i enheden,2020.0,Lyngby-Taarbæk,55.780907,12.488022,2020-01-01T00:00:00Z,Byggeår,/adresse/skovbrynet-4-4-5-2800-kongens-lyngby-01730722___4__4___5,value:|sqm:46|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.77018,12.511735,,,/adresse/noergaardsvej-30-1-2800-kongens-lyngby-01730626__30__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78128,12.487867,,,/adresse/skovbrynet-2f-4-17-2800-kongens-lyngby-01730722__2f__4__17,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78128,12.487867,,,/adresse/skovbrynet-2f-0-4-2800-kongens-lyngby-01730722__2f_st___4,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.787796,12.518491,,,/adresse/kemitorvet-210-0-2800-kongens-lyngby-01734001_210_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Centralvarme med én fyringsenhed,255.0,Eget køkken med afløb,1.0,2.0,Tegl,Vandskyllende toilet i enheden,2010.0,Lyngby-Taarbæk,55.787914,12.544052,2010-01-01T00:00:00Z,Byggeår,/adresse/raevehoejvej-4-2800-kongens-lyngby-01730698___4_______,value:6350000|sqm:255|lastPrice:6440000|sqmPr:25254|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.793804,12.504153,,,/adresse/lystoftevej-66-0-2800-kongens-lyngby-01730550__66_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78154,12.48815,,,/adresse/skovbrynet-2e-0-4-2800-kongens-lyngby-01730722__2e_st___4,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.793423,12.524002,,,/adresse/lundtoftevej-162a-2-5-2800-kongens-lyngby-01730527162a__2___5,value:|sqm:|lastPrice:|sqmPr:|rooms:
