props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Hillerød,55.990726,12.342732,,,/adresse/skovskolevej-45-3480-fredensborg-02197625__45_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.92859,12.298478,,,/adresse/slotsarkaderne-241-0-3400-hilleroed-02197810_241_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Carport,Træ,,,,,,Tagpap med lille hældning,,2023.0,Hillerød,55.946785,12.248131,2023-01-01T00:00:00Z,Byggeår,/adresse/amorbuen-137-3400-hilleroed-02190352_137_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,91.0,Eget køkken med afløb,15.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2021.0,Hillerød,55.92974,12.288846,2021-01-01T00:00:00Z,Byggeår,/adresse/baervaenget-2-9-3-3400-hilleroed-02190343___2__9___3,value:|sqm:91|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.928364,12.297892,,,/adresse/slotsarkaderne-42-1-3400-hilleroed-02197810__42__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Letbetonsten,Varmepumpe,88.0,Eget køkken med afløb,1.0,1.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1957.0,Hillerød,55.925713,12.22252,2023-05-23T00:00:00Z,Fri handel,/adresse/harloesevej-210a-3400-hilleroed-02193326210a_______,value:|sqm:88|lastPrice:850000|sqmPr:9659|rooms:
,,,,,,,,,,,Hillerød,55.933258,12.313638,2021-07-21T00:00:00Z,Fri handel,/adresse/koebenhavnsvej-31-3400-hilleroed-02194989__31_______,value:35000000|sqm:|lastPrice:27000000|sqmPr:undefined|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,72.0,Eget køkken med afløb,6.0,1.0,Levende tage,Vandskyllende toilet i enheden,2021.0,Hillerød,55.930336,12.289021,2021-01-01T00:00:00Z,Byggeår,/adresse/frederiksbrovej-5-0-tv-3400-hilleroed-02190338___5_st__tv,value:|sqm:72|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.934017,12.269645,,,/adresse/gefionsvej-8d-3400-hilleroed-02192795__8d_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Række- og kædehus,Mursten,Fjernvarme/blokvarme,144.0,Eget køkken med afløb,3.0,2.0,Levende tage,Vandskyllende toilet i enheden,2021.0,Hillerød,55.92938,12.289214,2021-01-01T00:00:00Z,Byggeår,/adresse/blaabaervaenget-2-3400-hilleroed-02190335___2_______,value:|sqm:144|lastPrice:|sqmPr:|rooms:
