props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,85.0,Eget køkken med afløb,8.0,1.0,Levende tage,Vandskyllende toilet i enheden,2021.0,København,55.656094,12.507052,2021-01-01T00:00:00Z,Byggeår,/adresse/ingrid-marievej-77-1-tv-2500-valby-01013278__77__1__tv,value:|sqm:85|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Fjernvarme/blokvarme,165.0,Eget køkken med afløb,2.0,2.0,Tegl,Vandskyllende toilet i enheden,1930.0,København,55.649105,12.616312,2012-04-26T00:00:00Z,Fri handel,/adresse/amsterdamvej-25-2300-koebenhavn-s-01010144__25_______,value:3500000|sqm:165|lastPrice:2022500|sqmPr:12257|rooms:
,,,,,,,,,,,København,55.714417,12.561804,,,/adresse/hans-knudsens-plads-3b-3-306-2100-koebenhavn-oe-01012592__3b__3_306,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.645008,12.549886,2018-01-01T00:00:00Z,Byggeår,/adresse/otto-brandenburgs-vej-30-0-tv-2450-koebenhavn-sv-01015327__30_st__tv,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.62111,12.570918,2020-01-01T00:00:00Z,Byggeår,/adresse/else-alfelts-vej-31k-2-4-2300-koebenhavn-s-01011514_31k__2___4,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Fjernvarme/blokvarme,92.0,Eget køkken med afløb,15.0,1.0,Andet materiale,Vandskyllende toilet i enheden,2014.0,København,55.659035,12.631877,2014-01-01T00:00:00Z,Byggeår,/adresse/krimsvej-23-10-tv-2300-koebenhavn-s-01013952__23_10__tv,value:2150000|sqm:92|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.652195,12.542173,2020-01-01T00:00:00Z,Byggeår,/adresse/a.c.-meyers-vaenge-184-3-3-2450-koebenhavn-sv-01014734_184__3___3,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.68148,12.571634,,,/adresse/noerregade-26a-1165-koebenhavn-k-01015204_26a_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.671814,12.579272,2006-02-10T00:00:00Z,Fri handel,/adresse/christians-brygge-23-1219-koebenhavn-k-01011132__23_______,value:59958600|sqm:|lastPrice:100000000|sqmPr:undefined|rooms:
,Udhus,Andet materiale,,,,,,Andet materiale,,2008.0,København,55.693844,12.536643,,,/adresse/lundtoftegade-23-2200-koebenhavn-n-01014448__23_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
