"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"Hverken badeværelse eller adgang til badeværelse","Kolonihavehus","Træ","Elvarme","36.0","Eget køkken med afløb","1.0","","Tagpap med stor hældning","Intet vandskyllende toilet","1976.0","Halsnæs","55.979374","11.94061","1998-08-17T00:00:00Z","Fri handel","/adresse/dyssestien-13-3390-hundested-02601797__13_______","value:|sqm:36|lastPrice:42000|sqmPr:1166|rooms:"
"","","","","","","","","","","","Halsnæs","55.985405","12.017934","","","/adresse/skovdalsvej-1-3300-frederiksvaerk-02601270___1_______","value:342700|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","68.0","Eget køkken med afløb","1.0","1.0","Tegl","Vandskyllende toilet i enheden","1807.0","Halsnæs","55.97251","12.019904","2013-01-01T00:00:00Z","Ombygningsår","/adresse/strandgade-3-1-tv-3300-frederiksvaerk-02601417___3__1__tv","value:|sqm:68|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.98163","12.004226","2011-12-16T00:00:00Z","Fri handel","/adresse/industrivaenget-12-3300-frederiksvaerk-02600643__12_______","value:720000|sqm:|lastPrice:720000|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","67.0","Eget køkken med afløb","1.0","1.0","Tegl","Vandskyllende toilet i enheden","2015.0","Halsnæs","55.968605","12.024159","2015-01-01T00:00:00Z","Byggeår","/adresse/tscherningsgade-16-0-3300-frederiksvaerk-02601546__16_st____","value:|sqm:67|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Fjernvarme/blokvarme","100.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2021.0","Halsnæs","55.966183","11.864696","2021-01-01T00:00:00Z","Byggeår","/adresse/peder-olsensvej-35e-3390-hundested-02601092_35e_______","value:|sqm:100|lastPrice:2350000|sqmPr:23500|rooms:"
"Hverken badeværelse eller adgang til badeværelse","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","112.0","Eget køkken med afløb","2.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","1935.0","Halsnæs","55.963177","11.851063","2012-01-03T00:00:00Z","Auktion","/adresse/noerregade-25e-2-3390-hundested-02601040_25e__2____","value:|sqm:112|lastPrice:1650000|sqmPr:14732|rooms:"
"","","","","","","","","","","","Halsnæs","55.92671","12.072757","","","/adresse/byvej-15-3310-oelsted-02600180__15_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.975082","12.013021","","","/adresse/syrevej-25b-3300-frederiksvaerk-02601458_25b_______","value:180000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","86.0","Eget køkken med afløb","2.0","1.0","Fibercement herunder asbest","Vandskyllende toilet i enheden","1984.0","Halsnæs","55.96032","11.879707","2014-03-17T00:00:00Z","Fri handel","/adresse/degnebakken-34-3390-hundested-02600225__34_______","value:|sqm:86|lastPrice:12000000|sqmPr:139534|rooms:"
