props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_floor,props_pageProps_address_municipality_numberOfSchools,props_pageProps_address_municipality_population,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailPropertyClass,lastPrice
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,76.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.69148,12.529428,1.0,17.0,103608.0,2000-05-05T00:00:00Z,Fri handel,/adresse/duevej-60-1-th-2000-frederiksberg-01470178__60__1__th,ejerlejlighed,1050000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,92.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.69148,12.529428,4.0,17.0,103608.0,2008-02-16T00:00:00Z,Fri handel,/adresse/duevej-60-4-tv-2000-frederiksberg-01470178__60__4__tv,ejerlejlighed,2850000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,51.0,Eget køkken med afløb,4.0,1.0,Tegl,Vandskyllende toilet i enheden,1929.0,Frederiksberg,55.69158,12.529008,0.0,17.0,103608.0,2000-11-08T00:00:00Z,Fri handel,/adresse/duevej-65-0-th-2000-frederiksberg-01470178__65_st__th,ejerlejlighed,660000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,121.0,Eget køkken med afløb,4.0,1.0,Tegl,Vandskyllende toilet i enheden,1929.0,Frederiksberg,55.69158,12.529008,0.0,17.0,103608.0,1998-05-05T00:00:00Z,Fri handel,/adresse/duevej-65-0-tv-2000-frederiksberg-01470178__65_st__tv,ejerlejlighed,1342222
,Udhus,Træ,Ingen varmeinstallation,,,,,Tagpap med stor hældning,,1960.0,Frederiksberg,55.69158,12.529008,0.0,17.0,103608.0,1993-04-06T00:00:00Z,Fri handel,/adresse/duevej-65-0-1-2000-frederiksberg-01470178__65_st___1,,100000
,Udhus,Træ,Ingen varmeinstallation,,,,,Tagpap med stor hældning,,1960.0,Frederiksberg,55.69158,12.529008,0.0,17.0,103608.0,1993-04-06T00:00:00Z,Fri handel,/adresse/duevej-65-0-20-2000-frederiksberg-01470178__65_st__20,,204000
,Udhus,Træ,Ingen varmeinstallation,,,,,Tagpap med stor hældning,,1960.0,Frederiksberg,55.69158,12.529008,0.0,17.0,103608.0,2023-01-27T00:00:00Z,Fri handel,/adresse/duevej-65-0-7-2000-frederiksberg-01470178__65_st___7,,250000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,178.0,Eget køkken med afløb,4.0,1.0,Tegl,Vandskyllende toilet i enheden,1929.0,Frederiksberg,55.69158,12.529008,1.0,17.0,103608.0,2015-10-06T00:00:00Z,Fri handel,/adresse/duevej-65-1-tv-2000-frederiksberg-01470178__65__1__tv,ejerlejlighed,5400000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,132.0,Eget køkken med afløb,4.0,1.0,Tegl,Vandskyllende toilet i enheden,1929.0,Frederiksberg,55.69158,12.529008,3.0,17.0,103608.0,2004-06-14T00:00:00Z,Fri handel,/adresse/duevej-65-3-th-2000-frederiksberg-01470178__65__3__th,ejerlejlighed,2350000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,178.0,Eget køkken med afløb,4.0,2.0,Tegl,Vandskyllende toilet i enheden,1929.0,Frederiksberg,55.69158,12.529008,3.0,17.0,103608.0,1993-09-06T00:00:00Z,Fri handel,/adresse/duevej-65-3-tv-2000-frederiksberg-01470178__65__3__tv,ejerlejlighed,1120490
